City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Rikitea,PF,79.2,clear sky,-23.1203,-134.9692,Pension Maro'i
3,Castro,BR,65.52,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
4,Mar Del Plata,AR,66.2,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
5,Esperance,AU,66.2,clear sky,-33.8667,121.9,Hospitality Esperance
9,Ribeira Grande,PT,60.8,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
12,Cape Town,ZA,66.99,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
17,Whitianga,NZ,66.69,overcast clouds,-36.8333,175.7,Beachside Resort Whitianga
19,Bengkulu,ID,76.42,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
20,Biak,ID,76.64,overcast clouds,-0.9131,122.8766,Penginapan Kim
22,Saidpur,BD,73.0,clear sky,25.7777,88.8917,হোটেল রুবেল
26,Busselton,AU,61.66,few clouds,-33.65,115.3333,Observatory Guest House
28,Djambala,CG,70.79,light rain,-2.5447,14.7533,Hotel Ravin D'or
29,Cabo San Lucas,MX,75.99,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
31,Pitimbu,BR,78.8,clear sky,-7.4706,-34.8086,Reserva do Abiaí
35,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
40,Cabedelo,BR,78.8,clear sky,-6.9811,-34.8339,Hotel Pigalle
49,Hargeysa,SO,65.91,broken clouds,9.56,44.065,City Center Hotel
50,Airai,TL,60.82,heavy intensity rain,-8.9266,125.4092,Juvinal Martin
51,Hithadhoo,MV,78.66,moderate rain,-0.6,73.0833,Scoop Guest House
54,Hambantota,LK,73.4,overcast clouds,6.1241,81.1185,Bungalow 63
55,East London,ZA,65.39,overcast clouds,-33.0153,27.9116,Tu Casa
58,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
63,Kapaa,US,77.0,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
64,Mahebourg,MU,75.2,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
65,Midland,US,73.0,clear sky,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
66,Hermanus,ZA,66.0,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
70,Pangkalanbuun,ID,74.28,light rain,-2.6833,111.6167,Grand Kecubung Hotel
71,Rocha,UY,62.22,broken clouds,-34.4833,-54.3333,Beleza Pura B&B
73,Martapura,ID,77.0,mist,-3.4167,114.85,Montana Hotel Syariah
74,Hilo,US,71.6,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
76,Faro,PT,62.6,clear sky,37.0194,-7.9322,Hotel Faro & Beach Club
78,Victoria,HK,75.99,few clouds,22.2855,114.1577,Mini Hotel Central
81,Saldanha,ZA,68.0,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
83,Kharan,PK,77.11,broken clouds,28.5833,65.4167,Dil Aram Bangla
84,Carnarvon,AU,71.6,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
87,Umm Lajj,SA,71.49,clear sky,25.0213,37.2685,Moon light Furnished Units
88,Katsuura,JP,62.01,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
90,Xai-Xai,MZ,71.28,light rain,-25.0519,33.6442,Complexo da Familia
92,Qui Nhon,VN,73.81,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
94,Pisco,PE,73.4,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
98,Mbanza-Ngungu,CD,68.52,overcast clouds,-5.25,14.8667,Hotel Full Business
99,Tufanganj,IN,70.27,clear sky,26.3167,89.6667,Hotel Rajmahal
101,Bredasdorp,ZA,60.8,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
103,Port Hedland,AU,78.8,few clouds,-20.3167,118.5667,The Esplanade Hotel
104,Rio Grande,BR,68.0,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
105,Souillac,MU,75.2,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
106,Santa Maria,BR,73.4,broken clouds,-29.6842,-53.8069,Hotel Morotin
109,Labuhan,ID,77.2,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
112,Itoman,JP,71.6,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
115,Barra Do Garcas,BR,75.78,clear sky,-15.89,-52.2567,Hotel Pousada Tropical
116,Ambilobe,MG,74.59,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
118,Kaitangata,NZ,64.96,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
120,Dehra Dun,IN,71.24,broken clouds,30.3167,78.0333,Delightful Stay Over looking Himalayas
124,Cockburn Town,TC,78.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
130,Trujillo,PE,71.6,fog,-8.116,-79.03,Casa Andina Standard Trujillo Plaza
131,Bathsheba,BB,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
134,Angoche,MZ,76.87,moderate rain,-16.2325,39.9086,Guest House HESADA
137,Sao Filipe,CV,69.96,broken clouds,14.8961,-24.4956,Tortuga B&B
138,Hutchinson,US,69.8,clear sky,38.0608,-97.9298,OYO Hotel Hutchinson KS West 4th Ave
140,Ponta Do Sol,PT,62.6,few clouds,32.6667,-17.1,Hotel do Campo
141,Ha Tinh,VN,73.62,broken clouds,18.3333,105.9,Phú Quý
145,Coihaique,CL,60.8,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
146,Zhicheng,CN,62.01,light rain,30.2956,111.5047,Wangjiang Building
