City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,La Ronge,CA,55.1001,-105.2842,41.0,60,100,6.91,overcast clouds
1,Albany,US,42.6001,-73.9662,53.01,87,100,7.0,moderate rain
2,Rikitea,PF,-23.1203,-134.9692,79.2,73,3,15.55,clear sky
3,Castro,BR,-24.7911,-50.0119,65.52,89,100,4.36,overcast clouds
4,Mar Del Plata,AR,-38.0023,-57.5575,66.2,82,20,10.36,few clouds
5,Esperance,AU,-33.8667,121.9,66.2,72,0,12.66,clear sky
6,Namatanai,PG,-3.6667,152.4333,83.71,69,83,8.01,broken clouds
7,Dikson,RU,73.5069,80.5464,-26.64,100,96,7.4,overcast clouds
8,Sept-Iles,CA,50.2001,-66.3821,28.99,93,90,18.41,snow
9,Ribeira Grande,PT,38.5167,-28.7,60.8,82,40,13.8,scattered clouds
10,Panormos,GR,35.4182,24.6909,51.01,81,0,4.65,clear sky
11,Glyadyanskoye,RU,54.9075,65.0883,25.92,92,74,11.65,broken clouds
12,Cape Town,ZA,-33.9258,18.4232,66.99,72,0,4.61,clear sky
13,Verkhnyaya Inta,RU,65.9811,60.3094,-1.08,99,65,4.34,broken clouds
14,General Jose Eduvigis Diaz,PY,-27.1667,-58.4167,69.8,73,0,2.3,clear sky
15,Wynyard,AU,-41.0,145.7167,55.22,58,73,10.31,broken clouds
16,Mataura,NZ,-46.1927,168.8643,59.0,98,37,8.99,scattered clouds
17,Whitianga,NZ,-36.8333,175.7,66.69,88,100,9.57,overcast clouds
18,Sakakah,SA,29.9697,40.2064,53.6,22,0,6.91,clear sky
19,Bengkulu,ID,-3.8004,102.2655,76.42,89,99,0.87,overcast clouds
20,Biak,ID,-0.9131,122.8766,76.64,87,100,5.86,overcast clouds
21,Torbay,CA,47.6666,-52.7314,24.8,74,75,4.61,broken clouds
22,Saidpur,BD,25.7777,88.8917,73.0,18,0,4.38,clear sky
23,Norman Wells,CA,65.282,-126.8329,-0.4,55,75,16.11,broken clouds
24,Korla,CN,41.7597,86.1469,55.65,41,100,7.25,overcast clouds
25,Isangel,VU,-19.55,169.2667,80.6,78,40,3.44,scattered clouds
26,Busselton,AU,-33.65,115.3333,61.66,71,11,6.38,few clouds
27,Punta Arenas,CL,-53.15,-70.9167,51.8,46,0,6.91,clear sky
28,Djambala,CG,-2.5447,14.7533,70.79,86,100,3.96,light rain
29,Cabo San Lucas,MX,22.8909,-109.9124,75.99,27,40,11.5,scattered clouds
30,Puerto Ayora,EC,-0.7393,-90.3518,82.4,78,20,11.5,few clouds
31,Pitimbu,BR,-7.4706,-34.8086,78.8,94,0,5.75,clear sky
32,Nhulunbuy,AU,-12.2333,136.7667,80.6,89,100,8.05,overcast clouds
33,Soderhamn,SE,61.3037,17.0592,41.0,90,94,3.0,overcast clouds
34,Hobart,AU,-42.8794,147.3294,57.2,38,75,13.8,broken clouds
35,Kahului,US,20.8947,-156.47,78.8,57,40,21.85,scattered clouds
36,Magdalena,PH,14.1999,121.429,82.99,77,81,8.99,broken clouds
37,Nome,US,64.5011,-165.4064,18.0,86,90,33.38,heavy snow
38,Thompson,CA,55.7435,-97.8558,28.4,46,90,4.61,snow
39,Sobolevo,RU,54.4299,31.8996,34.86,94,99,5.84,light snow
40,Cabedelo,BR,-6.9811,-34.8339,78.8,94,0,5.75,clear sky
41,Tasiilaq,GL,65.6145,-37.6368,19.4,49,48,12.66,scattered clouds
42,Karratha,AU,-20.7377,116.8463,86.5,47,84,8.32,broken clouds
43,Cherskiy,RU,68.75,161.3,-1.98,85,99,3.2,overcast clouds
44,Ishinomaki,JP,38.4167,141.3,57.2,94,75,5.75,broken clouds
45,Bluff,NZ,-46.6,168.3333,59.0,98,85,8.99,overcast clouds
46,Lorengau,PG,-2.0226,147.2712,83.14,78,100,9.78,overcast clouds
47,Linxi,CN,39.7,118.4333,49.62,14,100,9.64,overcast clouds
48,Yellowknife,CA,62.456,-114.3525,26.6,43,75,17.27,broken clouds
49,Hargeysa,SO,9.56,44.065,65.91,45,73,6.53,broken clouds
50,Airai,TL,-8.9266,125.4092,60.82,97,100,2.93,heavy intensity rain
51,Hithadhoo,MV,-0.6,73.0833,78.66,87,100,33.6,moderate rain
52,Baykit,RU,61.67,96.37,20.32,97,100,1.07,light snow
53,Jamestown,US,42.097,-79.2353,42.01,75,90,22.82,overcast clouds
54,Hambantota,LK,6.1241,81.1185,73.4,100,90,3.44,overcast clouds
55,East London,ZA,-33.0153,27.9116,65.39,77,100,13.31,overcast clouds
56,Atuona,PF,-9.8,-139.0333,80.91,74,98,17.13,overcast clouds
57,Bojnurd,IR,37.4747,57.329,33.8,93,75,0.83,broken clouds
58,Saint-Pierre,RE,-21.3393,55.4781,77.0,78,0,6.91,clear sky
59,Deputatskiy,RU,69.3,139.9,6.31,91,100,3.06,overcast clouds
60,Klaksvik,FO,62.2266,-6.589,41.0,93,40,13.8,scattered clouds
61,Ushuaia,AR,-54.8,-68.3,46.4,61,75,14.97,broken clouds
62,Ano Mera,GR,37.45,25.4,55.0,71,8,5.75,clear sky
63,Kapaa,US,22.0752,-159.319,77.0,65,90,18.41,light rain
64,Mahebourg,MU,-20.4081,57.7,75.2,88,20,6.91,few clouds
65,Midland,US,31.9974,-102.0779,73.0,16,1,5.75,clear sky
66,Hermanus,ZA,-34.4187,19.2345,66.0,76,100,8.99,overcast clouds
67,Pevek,RU,69.7008,170.3133,-13.18,96,70,3.22,broken clouds
68,Kabo,CF,7.6994,18.629,81.07,21,6,3.42,clear sky
69,Henties Bay,NA,-22.116,14.2845,61.0,91,0,1.99,clear sky
70,Pangkalanbuun,ID,-2.6833,111.6167,74.28,97,95,0.47,light rain
71,Rocha,UY,-34.4833,-54.3333,62.22,95,74,5.28,broken clouds
72,Lomovka,RU,53.9194,58.3672,17.6,67,13,4.47,few clouds
73,Martapura,ID,-3.4167,114.85,77.0,94,98,2.3,mist
74,Hilo,US,19.7297,-155.09,71.6,78,90,4.61,moderate rain
75,New Norfolk,AU,-42.7826,147.0587,55.99,59,68,1.01,broken clouds
76,Faro,PT,37.0194,-7.9322,62.6,82,0,10.36,clear sky
77,Port Hardy,CA,50.6996,-127.4199,41.0,81,75,16.11,light rain
78,Victoria,HK,22.2855,114.1577,75.99,87,23,6.98,few clouds
79,Dudinka,RU,69.4058,86.1778,-11.43,98,72,10.42,broken clouds
80,Porto Novo,BJ,6.4965,2.6036,82.4,83,20,9.22,few clouds
81,Saldanha,ZA,-33.0117,17.9442,68.0,52,100,3.44,overcast clouds
82,Kaseda,JP,31.4167,130.3167,50.0,100,75,5.75,fog
83,Kharan,PK,28.5833,65.4167,77.11,13,82,8.01,broken clouds
84,Carnarvon,AU,-24.8667,113.6333,71.6,94,40,5.75,scattered clouds
