City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lata,PT,2021-03-27 18:52:22,40.1629,-8.3327,61.0,75,67,5.99
1,Avarua,CK,2021-03-27 18:52:23,-21.2078,-159.775,82.4,78,75,14.97
2,Port Alfred,ZA,2021-03-27 18:52:23,-33.5906,26.891,67.87,67,78,17.05
3,Egvekinot,RU,2021-03-27 18:49:38,66.3167,-179.1667,-16.98,97,55,2.46
4,Nikolskoye,RU,2021-03-27 18:52:25,59.7035,30.7861,42.8,61,0,4.47
5,Anadyr,RU,2021-03-27 18:52:25,64.75,177.4833,-11.0,77,0,4.47
6,Maragogi,BR,2021-03-27 18:52:25,-9.0122,-35.2225,80.51,77,75,8.5
7,Kelo,TD,2021-03-27 18:52:26,9.3086,15.8066,89.29,12,80,5.95
8,Busselton,AU,2021-03-27 18:52:26,-33.65,115.3333,57.0,93,0,8.23
9,Pisco,PE,2021-03-27 18:52:26,-13.7,-76.2167,72.0,73,0,10.36
10,Tiznit,MA,2021-03-27 18:52:26,29.5833,-9.5,66.2,49,29,3.44
11,Hermanus,ZA,2021-03-27 18:52:27,-34.4187,19.2345,62.01,76,22,11.01
12,Hobart,AU,2021-03-27 18:48:14,-42.8794,147.3294,52.0,76,94,8.05
13,Tabas,IR,2021-03-27 18:50:51,33.5959,56.9244,77.74,21,6,7.96
14,Mayo,US,2021-03-27 18:50:23,38.8876,-76.5119,71.01,63,1,11.5
15,Ushuaia,AR,2021-03-27 18:51:03,-54.8,-68.3,57.2,67,75,20.71
16,Puerto Ayora,EC,2021-03-27 18:49:25,-0.7393,-90.3518,82.4,74,20,11.5
17,Tucumcari,US,2021-03-27 18:52:34,35.1717,-103.725,57.2,41,1,12.66
18,Sakakah,SA,2021-03-27 18:52:35,29.9697,40.2064,59.0,17,0,10.36
19,Deputatskiy,RU,2021-03-27 18:52:36,69.3,139.9,-1.84,98,100,1.92
20,Moron,AR,2021-03-27 18:52:37,-34.6534,-58.6198,73.99,73,75,12.66
21,Sao Miguel Do Araguaia,BR,2021-03-27 18:52:38,-13.275,-50.1628,86.95,49,81,1.59
22,Butaritari,KI,2021-03-27 18:52:39,3.0707,172.7902,81.45,78,97,14.34
23,Hithadhoo,MV,2021-03-27 18:49:04,-0.6,73.0833,84.13,71,100,14.07
24,Bluff,NZ,2021-03-27 18:52:41,-46.6,168.3333,55.99,94,100,1.01
25,Carnarvon,AU,2021-03-27 18:52:42,-24.8667,113.6333,75.2,83,0,6.91
26,Laguna,US,2021-03-27 18:49:40,38.421,-121.4238,66.0,39,1,6.91
27,Hofn,IS,2021-03-27 18:50:16,64.2539,-15.2082,26.64,94,100,26.8
28,Chokurdakh,RU,2021-03-27 18:49:16,70.6333,147.9167,-4.38,90,100,5.17
29,Camana,PE,2021-03-27 18:52:45,-16.6228,-72.7111,74.19,71,71,6.11
30,Lodwar,KE,2021-03-27 18:52:46,3.1191,35.5973,88.9,29,100,6.8
31,Kaitangata,NZ,2021-03-27 18:52:46,-46.2817,169.8464,53.82,80,100,3.85
32,San Jeronimo,PE,2021-03-27 18:52:47,-11.9472,-75.2829,61.39,53,97,4.59
33,Kollam,IN,2021-03-27 18:52:47,8.8833,76.6,84.2,74,40,2.3
34,Waipawa,NZ,2021-03-27 18:52:49,-41.4122,175.5153,64.4,63,20,19.57
35,Erzin,TR,2021-03-27 18:52:49,36.9559,36.2,52.0,53,0,2.04
36,Yellowknife,CA,2021-03-27 18:52:49,62.456,-114.3525,21.99,62,75,10.36
37,Jaciara,BR,2021-03-27 18:52:50,-15.9653,-54.9683,90.59,39,17,2.75
38,Zeya,RU,2021-03-27 18:52:50,53.75,127.2667,23.97,97,100,3.15
39,Bahia Honda,CU,2021-03-27 18:52:50,22.9036,-83.1592,86.4,46,0,10.29
40,Bredasdorp,ZA,2021-03-27 18:50:03,-34.5322,20.0403,62.6,59,22,2.3
41,Severo-Kurilsk,RU,2021-03-27 18:50:20,50.6789,156.125,26.02,83,100,35.77
42,Saint George,US,2021-03-27 18:52:53,37.1041,-113.5841,62.01,28,1,4.61
43,Albany,US,2021-03-27 18:52:54,42.6001,-73.9662,59.0,43,49,1.01
44,Tuktoyaktuk,CA,2021-03-27 18:52:55,69.4541,-133.0374,-22.0,76,90,3.44
45,Asau,RO,2021-03-27 18:52:55,46.4333,26.4,43.0,48,15,5.32
46,Khatanga,RU,2021-03-27 18:49:07,71.9667,102.5,3.94,95,100,7.56
47,Kutoarjo,ID,2021-03-27 18:52:56,-7.7169,109.9128,76.5,91,87,3.06
48,Saint-Leu,RE,2021-03-27 18:52:57,-21.15,55.2833,77.0,94,90,3.44
49,Sao Felix Do Xingu,BR,2021-03-27 18:52:57,-6.6447,-51.995,83.32,72,83,1.79
50,Aracati,BR,2021-03-27 18:50:32,-4.5617,-37.7697,83.01,66,100,9.46
51,Salalah,OM,2021-03-27 18:53:00,17.0151,54.0924,80.6,74,0,4.61
52,Jizan,SA,2021-03-27 18:53:01,17.3333,42.6667,84.2,58,0,3.44
53,Manzhouli,CN,2021-03-27 18:53:02,49.6,117.4333,34.68,65,48,8.12
54,Rochegda,RU,2021-03-27 18:53:03,62.8,43.25,31.71,76,100,4.03
55,Imphal,IN,2021-03-27 18:53:04,24.8167,93.95,59.76,30,0,2.37
56,Thompson,CA,2021-03-27 18:53:05,55.7435,-97.8558,21.2,58,75,13.8
57,Mpraeso,GH,2021-03-27 18:53:05,6.5932,-0.7346,75.92,78,10,3.11
58,Ajuchitlan,MX,2021-03-27 18:53:06,20.7167,-100.0167,80.6,11,1,9.22
59,Tazovskiy,RU,2021-03-27 18:53:06,67.4667,78.7,1.0,97,96,12.15
60,Batagay-Alyta,RU,2021-03-27 18:53:07,67.8006,130.4114,-5.39,91,100,4.41
61,Kapaa,US,2021-03-27 18:53:07,22.0752,-159.319,73.99,83,40,13.8
62,Vila Franca Do Campo,PT,2021-03-27 18:53:07,37.7167,-25.4333,60.8,63,20,10.36
63,Isangel,VU,2021-03-27 18:53:08,-19.55,169.2667,77.05,88,6,7.58
64,Camacha,PT,2021-03-27 18:50:08,33.0833,-16.3333,64.4,88,75,21.85
65,Acarau,BR,2021-03-27 18:53:08,-2.8856,-40.12,80.44,75,71,9.31
66,Georgetown,MY,2021-03-27 18:53:08,5.4112,100.3354,82.4,89,20,5.46
67,Cabo San Lucas,MX,2021-03-27 18:53:09,22.8909,-109.9124,79.0,60,1,6.89
68,Ola,RU,2021-03-27 18:53:10,59.5833,151.2833,-6.65,98,97,4.97
69,Ust-Maya,RU,2021-03-27 18:53:11,60.4167,134.5333,21.99,96,100,3.8
70,Barrow,US,2021-03-27 18:49:08,71.2906,-156.7887,-16.6,91,1,3.44
71,Sitka,US,2021-03-27 18:53:13,57.0531,-135.33,33.8,93,90,9.22
72,Saint-Philippe,RE,2021-03-27 18:53:13,-21.3585,55.7679,77.0,94,90,3.44
73,Yichun,CN,2021-03-27 18:53:15,47.7,128.9,27.34,94,11,3.38
74,East London,ZA,2021-03-27 18:49:24,-33.0153,27.9116,66.2,68,0,13.8
75,Yakeshi,CN,2021-03-27 18:53:16,49.2833,120.7333,36.46,64,12,20.33
76,Arraial Do Cabo,BR,2021-03-27 18:53:17,-22.9661,-42.0278,93.2,70,0,16.11
77,Caravelas,BR,2021-03-27 18:53:17,-17.7125,-39.2481,83.07,58,0,8.77
78,Hilo,US,2021-03-27 18:53:17,19.7297,-155.09,73.4,60,40,5.75
79,Uruzgan,AF,2021-03-27 18:51:06,32.8333,66.0,64.49,34,0,2.95
80,Erenhot,CN,2021-03-27 18:53:18,43.6475,111.9767,32.31,40,4,24.32
81,Shiyan,CN,2021-03-27 18:53:18,32.6475,110.7781,57.74,52,0,4.68
82,Husavik,IS,2021-03-27 18:53:18,66.0449,-17.3389,19.4,45,0,9.22
83,Hambantota,LK,2021-03-27 18:51:06,6.1241,81.1185,77.0,100,75,2.3
84,Rikitea,PF,2021-03-27 18:53:19,-23.1203,-134.9692,79.02,72,7,20.02
85,Rio Grande,BR,2021-03-27 18:51:24,-32.035,-52.0986,80.6,65,40,8.05
86,Gimli,CA,2021-03-27 18:53:21,50.6336,-96.9907,33.8,64,99,6.58
87,Vardo,NO,2021-03-27 18:53:21,70.3705,31.1107,37.11,93,100,24.16
88,Salinopolis,BR,2021-03-27 18:53:21,-0.6136,-47.3561,80.35,78,91,8.28
89,Burayevo,RU,2021-03-27 18:53:21,55.8407,55.4083,31.93,86,100,13.31
90,Saint-Francois,FR,2021-03-27 18:53:22,46.4154,3.9054,46.4,61,0,3.44
